url,rank,page_size_kb,total_byte_weight,load_time_s,response_time_s,num_requests,speed_index,dom_size,num_domains
https://www.bursahakimiyet.com.tr/,50000,3155.15,3230876.0,19.968,2.188,135,6784.0,4867,13
https://kingdeportes.com/,50000,25930.57,26552905.0,30.611,0.735,88,12646.0,865,9
https://cursos.aprende.gob.mx/,50000,5659.57,5795402.0,14.332,0.472,114,9588.0,1115,12
https://myasianet.in/,100000,677.86,694127.0,6.019,1.952,16,4390.0,74,1
https://go.sbisec.co.jp/,100000,1.37,1406.0,1.897,1.392,2,0.0,2,1
https://tech.everyeye.it/,50000,811.84,831328.0,4.626,0.554,44,3812.0,1328,9
https://www.ladies-forum.de/,50000,646.72,662240.0,5.759,0.631,78,3684.0,1821,6
https://obhavo.uz/,100000,472.56,483905.0,10.121,1.263,39,9443.0,298,7
https://www.knoxschools.org/,50000,5896.35,6037860.0,15.626,0.503,89,10759.0,2845,14
https://bo7.dev/,50000,8771.55,8982066.0,10.311,0.669,132,3740.0,6246,4
https://www.tog24.com/,100000,4146.09,4245600.0,25.92,0.98,306,11845.0,3224,59
https://www.tvmalaysia.live/,50000,1663.27,1703188.0,13.766,0.621,189,2964.0,419,19
https://myaolcc.ca/,100000,351.65,360094.0,3.323,1.245,12,3331.0,56,2
https://ruangbokep.ws/,50000,319.99,327667.0,1.968,0.48,15,2082.0,923,3
https://calendar.2net.co.il/,50000,2845.87,2914175.0,20.146,2.203,161,9612.0,1037,28
https://upornia.tube/,10000,3569.92,3655600.0,13.361,1.445,123,6480.0,1788,31
https://permata4d.com/,100000,7377.35,7554402.0,10.647,1.019,82,5420.0,709,9
https://wetv.vip/,50000,5165.05,5289016.0,26.867,0.888,181,8941.0,1109,22
https://www.portaleargo.it/,5000,524.02,536600.0,3.36,0.873,46,4166.0,335,5
https://kumadas.net/,50000,3776.25,3866878.0,9.18,1.043,57,4942.0,463,14
https://www.flashscore.co.jp/,100000,2648.61,2712180.0,21.287,1.356,255,12861.0,5098,13
https://mosttechs.com/,100000,65.34,66907.0,2.253,0.833,15,2472.0,774,1
https://nilax.jp/,100000,12529.32,12830020.0,10.457,1.059,104,8306.0,541,10
https://traidmode.com/,50000,809.73,829162.0,8.458,0.978,72,2527.0,1158,10
https://secure.ogone.com/,100000,1631.32,1670468.0,13.969,7.153,33,12498.0,217,2
https://www.radioitalia.it/,100000,4916.04,5034028.0,17.4,0.683,168,8783.0,1224,22
https://www.pesuacademy.com/,100000,1481.69,1517253.0,8.512,2.327,21,7373.0,128,1
https://www.divitarot.com/,50000,1149.15,1176733.0,15.34,1.011,78,2420.0,92,15
https://www.ambitojuridico.com/,100000,2804.98,2872295.0,16.943,0.667,148,7648.0,1817,37
https://vivonewsroom.in/,100000,5814.36,5953905.0,13.479,1.83,66,6231.0,1663,12
https://musang178daftar.com/,100000,8568.96,8774611.0,11.033,1.709,134,8056.0,2579,7
https://7745.by/,50000,3754.81,3844927.0,12.67,1.567,128,7966.0,2697,5
https://www.dubaitrade.ae/,100000,9254.22,9476325.0,21.634,2.773,128,14169.0,2290,5
https://www.ladbible.com/,50000,2250.11,2304109.0,15.701,0.563,204,2057.0,996,66
https://www.atyarisi.com/,50000,3899.02,3992600.0,20.609,2.368,153,14274.0,2354,14
https://kurs.kz/,100000,1010.4,1034654.0,15.329,1.286,71,6164.0,6974,15
https://tickzoo.tv/,50000,5942.41,6085031.0,21.566,0.561,120,3107.0,801,53
https://telugu.drivespark.com/,50000,8340.03,8540187.0,125.678,1.153,1824,3870.0,1398,311
https://ng.oriflame.com/,100000,3806.2,3897546.0,22.862,1.181,79,14803.0,858,19
https://mychart.uihealthcare.org/,100000,3692.18,3780790.0,9.893,1.099,50,10287.0,237,1
https://www.winwin.com/,50000,2905.47,2975202.0,22.477,0.95,245,3921.0,3593,34
https://ai.google.dev/,50000,5903.56,6045241.0,10.713,0.751,140,4098.0,1626,9
https://ilikecomix.com/,50000,868.84,889696.0,4.418,1.239,38,3315.0,391,6
https://harrypotter.fandom.com/,50000,6747.35,6909290.0,96.869,1.371,1794,22565.0,2229,347
